"","X","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Alley","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","RoofMatl","Exterior1st","Exterior2nd","ExterQual","ExterCond","BsmtQual","BsmtCond","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageCars","GarageArea","GarageQual","GarageCond","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MoSold","YrSold","SaleType","SaleCondition","HouseAge","GarageAge","RemodAddAge","SalePriceThousands"
"340",340,1,20,"RL",66,12400,NA,"NAmes","Feedr","Norm","1Fam","1Story",6,7,"CompShg","Wd Sdng","Wd Sdng","TA","TA","TA","Fa","Rec",585,"Unf",0,630,1215,"GasA","FuseA",1215,0,0,1215,0,0,1,0,3,1,"TA",6,"Typ",0,"Attchd",1,297,"TA","TA",0,0,0,0,234,0,NA,NA,6,2009,"WD","Normal",51,51,11,155
"341",341,1,60,"RL",85,14191,NA,"Timber","Norm","Norm","1Fam","2Story",8,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","Unf",0,"Unf",0,967,967,"GasA","SBrkr",993,915,0,1908,0,0,2,1,4,1,"Gd",9,"Typ",0,"Attchd",2,431,"TA","TA",135,0,0,0,0,0,NA,NA,4,2010,"WD","Normal",8,8,8,202.9
"342",342,1,20,"RH",60,8400,NA,"SawyerW","Feedr","Norm","1Fam","1Story",4,4,"CompShg","Wd Sdng","AsbShng","Fa","Fa","TA","Fa","Unf",0,"Unf",0,721,721,"GasA","SBrkr",841,0,0,841,0,0,1,0,2,1,"TA",4,"Typ",0,"CarPort",1,294,"TA","TA",250,0,24,0,0,0,NA,NA,9,2009,"WD","Normal",59,59,59,82
"343",343,1,90,"RL",0,8544,NA,"NAmes","Norm","Norm","Duplex","1Story",3,4,"CompShg","Stucco","Stucco","TA","TA",NA,NA,NA,0,NA,0,0,0,"Wall","FuseA",1040,0,0,1040,0,0,2,0,2,2,"TA",6,"Typ",0,"Detchd",2,400,"TA","TA",0,0,0,0,0,0,NA,NA,5,2006,"WD","Normal",57,57,56,87.5
"344",344,1,120,"RL",63,8849,NA,"NridgHt","Norm","Norm","TwnhsE","1Story",9,5,"CompShg","MetalSd","MetalSd","Ex","TA","Ex","TA","GLQ",28,"Unf",0,1656,1684,"GasA","SBrkr",1684,0,0,1684,0,0,2,0,2,1,"Ex",6,"Typ",1,"Attchd",2,564,"TA","TA",495,72,0,0,0,0,NA,NA,7,2008,"WD","Normal",3,3,3,266
"345",345,1,160,"RM",36,2592,NA,"MeadowV","Norm","Norm","TwnhsE","2Story",5,3,"CompShg","CemntBd","CmentBd","TA","TA","Gd","TA","Rec",129,"BLQ",232,175,536,"GasA","SBrkr",536,576,0,1112,0,0,1,1,3,1,"TA",4,"Typ",0,"Attchd",1,336,"TA","TA",182,0,0,0,0,0,NA,NA,4,2010,"WD","Normal",34,34,34,85
"346",346,1,50,"RL",65,6435,NA,"BrkSide","RRAn","Norm","1Fam","1.5Fin",6,5,"CompShg","MetalSd","MetalSd","TA","TA","TA","TA","Unf",0,"Unf",0,972,972,"GasA","SBrkr",972,605,0,1577,0,0,1,0,3,1,"Fa",6,"Typ",1,"Detchd",1,312,"TA","TA",0,0,0,0,0,0,NA,NA,10,2006,"WD","Normal",67,67,56,140.2
"347",347,1,20,"RL",0,12772,NA,"NAmes","Norm","Norm","1Fam","1Story",6,8,"CompShg","MetalSd","MetalSd","TA","Gd","TA","TA","BLQ",498,"Unf",0,460,958,"GasA","SBrkr",958,0,0,958,0,0,1,0,2,1,"TA",5,"Typ",0,"Attchd",1,301,"TA","TA",0,0,0,0,0,0,NA,NA,4,2007,"WD","Normal",47,47,9,151.5
"348",348,1,20,"RL",0,17600,NA,"NAmes","Norm","Norm","1Fam","1Story",6,5,"CompShg","Wd Sdng","Wd Sdng","TA","TA","TA","TA","BLQ",1270,"Unf",0,208,1478,"GasA","FuseA",1478,0,0,1478,1,0,2,0,3,1,"TA",6,"Typ",2,"Attchd",2,498,"TA","TA",0,40,0,0,0,0,NA,NA,12,2009,"WD","Normal",49,49,49,157.5
"349",349,1,160,"RL",36,2448,NA,"NridgHt","Norm","Norm","Twnhs","2Story",7,5,"CompShg","VinylSd","Wd Shng","Gd","TA","Gd","TA","GLQ",573,"Unf",0,191,764,"GasA","SBrkr",764,862,0,1626,1,0,2,1,2,1,"Gd",6,"Typ",0,"BuiltIn",2,474,"TA","TA",0,27,0,0,0,0,NA,NA,10,2008,"WD","Normal",5,5,4,154
"350",350,1,60,"RL",56,20431,NA,"NridgHt","Norm","Norm","1Fam","2Story",9,5,"CompShg","CemntBd","CmentBd","Ex","TA","Ex","TA","GLQ",1410,"Unf",0,438,1848,"GasA","SBrkr",1848,880,0,2728,1,0,2,1,4,1,"Ex",10,"Typ",2,"Attchd",3,706,"TA","TA",0,0,0,0,0,0,NA,NA,4,2006,"New","Partial",1,0,0,437.154
"351",351,1,120,"RL",68,7820,NA,"NridgHt","Norm","Norm","TwnhsE","1Story",9,5,"CompShg","MetalSd","MetalSd","Ex","TA","Ex","TA","Unf",0,"Unf",0,1869,1869,"GasA","SBrkr",1869,0,0,1869,0,0,2,0,2,1,"Ex",6,"Typ",1,"Attchd",2,617,"TA","TA",210,54,0,0,0,0,NA,NA,12,2007,"New","Partial",0,0,0,318.061
"352",352,1,120,"RL",0,5271,NA,"ClearCr","Norm","Norm","1Fam","1Story",7,5,"CompShg","Wd Sdng","Wd Sdng","TA","TA","Gd","TA","GLQ",1082,"Unf",0,371,1453,"GasA","SBrkr",1453,0,0,1453,1,0,1,1,2,1,"Gd",6,"Typ",1,"Attchd",2,445,"TA","TA",0,80,0,0,184,0,NA,NA,12,2006,"WD","Abnorml",20,20,20,190
"353",353,1,50,"RL",60,9084,NA,"Edwards","Artery","Norm","1Fam","1.5Fin",5,6,"CompShg","VinylSd","VinylSd","TA","TA","TA","Fa","LwQ",236,"Rec",380,0,616,"GasA","SBrkr",616,495,0,1111,0,1,1,0,3,1,"TA",5,"Typ",0,"Detchd",1,200,"TA","Fa",48,0,0,0,0,0,NA,NA,3,2008,"ConLw","Normal",67,67,58,95
"354",354,1,30,"RM",60,8520,NA,"OldTown","Norm","Norm","1Fam","1Story",6,8,"CompShg","VinylSd","VinylSd","TA","Gd","TA","TA","Unf",0,"Unf",0,624,624,"GasA","SBrkr",720,0,0,720,0,0,1,0,2,1,"TA",5,"Typ",0,"Detchd",2,484,"TA","TA",106,0,0,0,0,0,NA,NA,5,2010,"WD","Normal",82,5,7,105.9
"355",355,1,50,"RL",60,8400,NA,"SWISU","Norm","Norm","1Fam","1.5Fin",6,5,"CompShg","Wd Sdng","MetalSd","TA","TA","TA","TA","LwQ",388,"Unf",0,552,940,"GasA","SBrkr",1192,403,0,1595,0,0,1,0,2,1,"TA",6,"Typ",2,"Attchd",1,240,"TA","TA",0,0,108,0,0,0,NA,NA,6,2006,"WD","Normal",66,66,6,140
"356",356,1,20,"RL",105,11249,NA,"CollgCr","Norm","Norm","1Fam","1Story",6,5,"CompShg","VinylSd","VinylSd","Gd","Gd","Gd","Gd","ALQ",334,"BLQ",544,322,1200,"GasA","SBrkr",1200,0,0,1200,1,0,2,0,3,1,"Gd",6,"Typ",0,"Attchd",2,521,"TA","TA",0,26,0,0,0,0,NA,NA,8,2007,"WD","Normal",12,12,12,177.5
"357",357,1,20,"RL",0,9248,NA,"Gilbert","Norm","Norm","1Fam","1Story",6,6,"CompShg","HdBoard","HdBoard","TA","TA","Gd","TA","GLQ",560,"Unf",0,598,1158,"GasA","SBrkr",1167,0,0,1167,1,0,2,0,3,1,"Gd",6,"Typ",0,"Attchd",2,400,"TA","TA",120,26,0,0,0,0,NA,NA,7,2009,"WD","Normal",17,17,17,173
"358",358,1,120,"RM",44,4224,NA,"MeadowV","Norm","Norm","TwnhsE","1Story",5,5,"CompShg","CemntBd","CmentBd","TA","TA","Gd","TA","ALQ",874,"Unf",0,268,1142,"GasA","SBrkr",1142,0,0,1142,1,0,1,1,3,1,"TA",6,"Typ",1,"Attchd",2,528,"TA","TA",536,90,0,0,0,0,NA,"MnPrv",8,2007,"WD","Normal",31,31,31,134
"359",359,1,80,"RL",92,6930,NA,"ClearCr","Norm","Norm","1Fam","SLvl",5,4,"CompShg","Wd Sdng","ImStucc","TA","TA","TA","TA","BLQ",300,"Rec",294,468,1062,"GasA","FuseF",1352,0,0,1352,0,1,1,0,3,1,"Gd",6,"Min2",0,"BuiltIn",1,288,"TA","TA",168,0,294,0,0,0,NA,NA,7,2006,"WD","Abnorml",48,48,48,130
"360",360,1,60,"RL",78,12011,NA,"NoRidge","Norm","Norm","1Fam","2Story",8,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","GLQ",956,"Unf",0,130,1086,"GasA","SBrkr",1086,838,0,1924,1,0,2,1,3,1,"Gd",7,"Typ",1,"Attchd",2,592,"TA","TA",208,75,0,0,374,0,NA,NA,6,2006,"WD","Normal",8,8,8,280
"361",361,1,85,"RL",0,7540,NA,"Mitchel","Norm","Norm","1Fam","SFoyer",6,6,"CompShg","VinylSd","VinylSd","TA","TA","Gd","TA","GLQ",773,"Unf",0,115,888,"GasA","SBrkr",912,0,0,912,1,0,1,0,2,1,"TA",5,"Typ",1,"Attchd",2,470,"TA","TA",0,0,0,0,192,0,NA,"MnPrv",6,2007,"WD","Normal",29,29,29,156
"362",362,1,50,"RL",0,9144,"Pave","BrkSide","Norm","Norm","1Fam","1.5Fin",5,5,"CompShg","MetalSd","MetalSd","TA","TA","TA","TA","Rec",399,"Unf",0,484,883,"GasA","SBrkr",988,517,0,1505,1,0,1,0,3,1,"TA",8,"Typ",0,"Detchd",1,240,"TA","TA",0,0,0,0,0,0,NA,NA,7,2008,"WD","Normal",68,68,26,145
"363",363,1,85,"RL",64,7301,NA,"Edwards","Norm","Norm","1Fam","SFoyer",7,5,"CompShg","HdBoard","HdBoard","Gd","TA",NA,NA,NA,0,NA,0,0,0,"GasA","SBrkr",495,1427,0,1922,0,0,3,0,4,1,"Gd",7,"Typ",1,"BuiltIn",2,672,"TA","TA",0,0,177,0,0,0,NA,NA,7,2009,"ConLD","Normal",6,6,6,198.5
"364",364,1,160,"RM",21,1680,NA,"BrDale","Norm","Norm","Twnhs","2Story",6,8,"CompShg","HdBoard","HdBoard","TA","TA","TA","TA","ALQ",162,"Unf",0,321,483,"GasA","SBrkr",483,504,0,987,0,0,1,1,2,1,"Gd",5,"Typ",0,"Detchd",1,264,"TA","TA",250,0,0,0,0,0,NA,NA,5,2009,"WD","Normal",37,37,2,118
"365",365,1,60,"RL",0,18800,NA,"NWAmes","Norm","Norm","1Fam","2Story",6,5,"CompShg","HdBoard","HdBoard","TA","TA","Gd","TA","GLQ",712,"Unf",0,84,796,"GasA","SBrkr",790,784,0,1574,1,0,2,1,3,1,"TA",6,"Typ",1,"Attchd",2,566,"TA","TA",306,111,0,0,0,0,NA,NA,7,2006,"WD","Normal",30,30,30,190
"366",366,1,70,"RM",59,10690,NA,"IDOTRR","Norm","Norm","1Fam","2Story",5,7,"CompShg","VinylSd","VinylSd","TA","Gd","TA","Fa","Rec",456,"Unf",0,216,672,"GasA","FuseA",672,672,0,1344,0,0,1,0,3,1,"TA",6,"Typ",0,"Detchd",1,468,"TA","Fa",0,128,218,0,0,0,NA,NA,7,2009,"WD","Normal",89,45,12,147
"367",367,1,20,"RL",0,9500,NA,"NAmes","Norm","Norm","1Fam","1Story",6,5,"CompShg","Plywood","Plywood","TA","TA","Gd","TA","BLQ",609,"Unf",0,785,1394,"GasA","SBrkr",1394,0,0,1394,1,0,1,1,3,1,"TA",6,"Typ",2,"Attchd",2,514,"TA","TA",0,76,0,0,185,0,NA,NA,7,2009,"WD","Normal",46,46,46,159
"368",368,1,80,"RL",101,9150,NA,"NAmes","Norm","Norm","1Fam","SLvl",6,5,"Tar&Grv","Plywood","Plywood","TA","TA","Gd","TA","GLQ",371,"Unf",0,728,1099,"GasA","SBrkr",1431,0,0,1431,0,1,1,0,3,1,"TA",6,"Typ",1,"Basment",1,296,"TA","TA",64,110,0,0,0,0,NA,NA,12,2008,"WD","Normal",46,46,46,165
"369",369,1,20,"RL",78,7800,NA,"NAmes","Norm","Norm","1Fam","1Story",5,6,"CompShg","HdBoard","HdBoard","TA","TA","TA","TA","LwQ",540,"Unf",0,728,1268,"GasA","SBrkr",1268,0,0,1268,0,0,1,0,2,1,"TA",7,"Typ",1,"Attchd",1,244,"TA","TA",0,98,0,0,0,0,NA,NA,3,2010,"WD","Normal",56,56,56,132
"370",370,1,20,"RL",0,9830,NA,"NAmes","Norm","Norm","1Fam","1Story",5,7,"CompShg","Wd Sdng","Wd Sdng","TA","Gd","TA","TA","ALQ",72,"Rec",258,733,1063,"GasA","SBrkr",1287,0,0,1287,1,0,1,0,3,1,"Gd",7,"Typ",1,"Detchd",2,576,"TA","TA",364,17,0,0,182,0,NA,NA,3,2010,"WD","Normal",51,13,4,162
"371",371,1,60,"RL",0,8121,NA,"Gilbert","Norm","Norm","1Fam","2Story",6,5,"CompShg","VinylSd","VinylSd","TA","TA","Gd","TA","Unf",0,"Unf",0,953,953,"GasA","SBrkr",953,711,0,1664,0,0,2,1,3,1,"TA",7,"Typ",1,"Attchd",2,460,"TA","TA",100,40,0,0,0,0,NA,NA,1,2006,"WD","Normal",6,6,6,172.4
"372",372,1,50,"RL",80,17120,NA,"ClearCr","Feedr","Norm","1Fam","1.5Fin",4,4,"CompShg","WdShing","Plywood","TA","TA",NA,NA,NA,0,NA,0,0,0,"GasA","SBrkr",1120,468,0,1588,0,0,2,0,4,1,"TA",7,"Min2",1,"Detchd",2,680,"TA","TA",0,59,0,0,0,0,NA,NA,7,2008,"WD","Normal",49,17,49,134.432
"373",373,1,120,"RL",50,7175,NA,"SawyerW","Norm","Norm","TwnhsE","1Story",6,5,"CompShg","Plywood","Plywood","TA","TA","Gd","TA","ALQ",623,"LwQ",121,0,744,"GasA","SBrkr",752,0,0,752,1,0,1,0,2,1,"TA",4,"Typ",0,"Attchd",1,264,"TA","TA",353,0,0,0,90,0,NA,"MnPrv",2,2010,"WD","Normal",26,26,26,125
"374",374,1,20,"RL",79,10634,NA,"NAmes","Norm","Norm","1Fam","1Story",5,6,"CompShg","MetalSd","MetalSd","TA","TA","TA","TA","BLQ",428,"LwQ",180,0,608,"GasA","SBrkr",1319,0,0,1319,1,0,1,0,3,1,"TA",5,"Min2",0,"Attchd",1,270,"TA","TA",66,0,0,0,0,0,NA,"GdWo",11,2009,"WD","Normal",56,56,56,123
"375",375,1,60,"RL",65,8200,NA,"CollgCr","Norm","Norm","1Fam","2Story",7,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","Unf",0,"Unf",0,847,847,"GasA","SBrkr",847,1081,0,1928,0,0,2,1,4,1,"Gd",8,"Typ",1,"BuiltIn",2,434,"TA","TA",100,48,0,0,0,0,NA,NA,7,2007,"WD","Normal",4,4,3,219.5
"376",376,1,30,"RL",0,10020,NA,"Edwards","Norm","Norm","1Fam","1Story",1,1,"CompShg","Wd Sdng","Wd Sdng","Fa","Fa","Fa","Po","BLQ",350,"Unf",0,333,683,"GasA","FuseA",904,0,0,904,1,0,0,1,1,1,"Fa",4,"Maj1",0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,NA,3,2009,"WD","Normal",87,0,59,61
"377",377,1,85,"RL",57,8846,NA,"CollgCr","Norm","Norm","1Fam","SFoyer",5,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","GLQ",298,"Unf",0,572,870,"GasA","SBrkr",914,0,0,914,0,0,1,0,2,1,"TA",5,"Typ",0,"Detchd",2,576,"TA","TA",0,0,0,0,0,0,NA,NA,7,2006,"WD","Normal",10,8,10,148
"378",378,1,60,"FV",102,11143,NA,"Somerst","Norm","Norm","1Fam","2Story",8,5,"CompShg","CemntBd","CmentBd","Gd","TA","Gd","TA","Unf",0,"Unf",0,1580,1580,"GasA","SBrkr",1580,886,0,2466,0,0,3,0,4,1,"Gd",8,"Typ",1,"Attchd",2,610,"TA","TA",159,214,0,0,0,0,NA,NA,12,2007,"WD","Normal",3,3,2,340
"379",379,1,20,"RL",88,11394,NA,"StoneBr","Norm","Norm","1Fam","1Story",9,2,"CompShg","VinylSd","VinylSd","Gd","TA","Ex","TA","GLQ",1445,"Unf",0,411,1856,"GasA","SBrkr",1856,0,0,1856,1,0,1,1,1,1,"Ex",8,"Typ",1,"Attchd",3,834,"TA","TA",113,0,0,0,0,0,NA,NA,6,2010,"New","Partial",0,0,0,394.432
"380",380,1,60,"RL",60,8123,NA,"Gilbert","RRAn","Norm","1Fam","2Story",6,5,"CompShg","VinylSd","VinylSd","TA","TA","Gd","TA","Unf",0,"Unf",0,982,982,"GasA","SBrkr",1007,793,0,1800,0,0,2,1,3,1,"TA",7,"Typ",1,"Attchd",2,463,"TA","TA",100,63,0,0,0,0,NA,NA,6,2009,"WD","Normal",9,9,9,179
"381",381,1,50,"RL",50,5000,"Pave","SWISU","Norm","Norm","1Fam","1.5Fin",5,6,"CompShg","BrkFace","Wd Sdng","TA","TA","TA","TA","LwQ",218,"Unf",0,808,1026,"GasA","SBrkr",1026,665,0,1691,0,0,2,0,3,1,"Gd",6,"Typ",1,"Detchd",1,308,"TA","TA",0,0,242,0,0,0,NA,NA,5,2010,"WD","Normal",86,86,60,127
"382",382,1,20,"FV",60,7200,"Pave","Somerst","Norm","Norm","1Fam","1Story",7,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","Gd","Unf",0,"Unf",0,1293,1293,"GasA","SBrkr",1301,0,0,1301,1,0,2,0,2,1,"Gd",5,"Typ",1,"Attchd",2,572,"TA","TA",216,121,0,0,0,0,NA,NA,8,2006,"New","Partial",0,0,0,187.75
"383",383,1,60,"RL",79,9245,NA,"CollgCr","Norm","Norm","1Fam","2Story",7,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","Unf",0,"Unf",0,939,939,"GasA","SBrkr",939,858,0,1797,0,0,2,1,3,1,"Gd",8,"Typ",0,"Attchd",2,639,"TA","TA",144,53,0,0,0,0,NA,NA,4,2007,"WD","Normal",1,1,1,213.5
"384",384,1,45,"RH",60,9000,NA,"SawyerW","Norm","Norm","1Fam","1.5Unf",6,3,"CompShg","Wd Sdng","Wd Sdng","TA","TA","Fa","Fa","Unf",0,"Unf",0,784,784,"GasA","FuseA",784,0,0,784,0,0,1,0,2,1,"TA",5,"Typ",0,"Detchd",2,360,"Fa","Fa",0,0,91,0,0,0,NA,NA,10,2009,"WD","Normal",81,59,59,76
"385",385,1,60,"RL",0,53107,NA,"ClearCr","Feedr","Norm","1Fam","2Story",6,5,"CompShg","HdBoard","HdBoard","Gd","TA","Gd","TA","GLQ",985,"Unf",0,595,1580,"GasA","SBrkr",1079,874,0,1953,1,0,2,1,3,1,"Gd",9,"Typ",2,"Attchd",2,501,"TA","TA",216,231,0,0,0,0,NA,NA,6,2007,"WD","Normal",15,15,15,240
"386",386,1,120,"RL",43,3182,NA,"Blmngtn","Norm","Norm","TwnhsE","1Story",8,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","GLQ",24,"Unf",0,1232,1256,"GasA","SBrkr",1269,0,0,1269,0,0,2,0,2,1,"Gd",6,"Typ",1,"Attchd",2,430,"TA","TA",146,20,0,0,144,0,NA,NA,4,2010,"WD","Normal",6,6,5,192
"387",387,1,50,"RL",58,8410,NA,"Edwards","Feedr","Norm","1Fam","1.5Fin",5,3,"CompShg","Wd Sdng","VinylSd","TA","Fa","TA","TA","Unf",0,"Unf",0,658,658,"GasA","SBrkr",658,526,0,1184,0,0,1,0,5,1,"TA",8,"Typ",0,NA,0,0,NA,NA,0,151,0,0,0,0,NA,NA,5,2006,"WD","AdjLand",96,0,10,81
"388",388,1,80,"RL",72,7200,NA,"Edwards","Norm","Norm","1Fam","SLvl",6,6,"CompShg","MetalSd","MetalSd","TA","TA","TA","TA","ALQ",631,"Unf",0,410,1041,"GasA","SBrkr",1125,0,0,1125,1,0,1,0,3,1,"TA",6,"Typ",1,"Detchd",1,352,"TA","TA",296,0,0,0,0,0,NA,"GdWo",10,2009,"WD","Abnorml",33,32,33,125
"389",389,1,20,"RL",93,9382,NA,"CollgCr","Norm","Norm","1Fam","1Story",7,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","Unf",0,"Unf",0,1468,1468,"GasA","SBrkr",1479,0,0,1479,0,0,2,0,3,1,"Gd",6,"Typ",0,"Attchd",2,577,"TA","TA",120,25,0,0,0,0,NA,NA,7,2008,"WD","Normal",9,9,8,191
"390",390,1,60,"RL",96,12474,NA,"NridgHt","Norm","Norm","1Fam","2Story",10,5,"CompShg","VinylSd","VinylSd","Ex","TA","Ex","TA","GLQ",1280,"Unf",0,402,1682,"GasA","SBrkr",1742,590,0,2332,1,0,2,1,3,1,"Ex",9,"Typ",1,"BuiltIn",3,846,"TA","TA",196,134,0,0,0,0,NA,NA,8,2008,"New","Partial",1,0,0,426
"391",391,1,50,"RL",50,8405,"Grvl","Edwards","Norm","Norm","1Fam","1.5Fin",5,8,"CompShg","MetalSd","MetalSd","TA","TA","TA","Gd","Rec",241,"BLQ",391,229,861,"GasA","SBrkr",961,406,0,1367,1,0,1,0,4,1,"TA",7,"Typ",0,"Detchd",1,384,"TA","TA",0,130,112,0,0,0,NA,"MnPrv",4,2008,"WD","Normal",108,30,58,119
"392",392,1,60,"RL",71,12209,NA,"Mitchel","Norm","Norm","1Fam","2Story",6,5,"CompShg","VinylSd","VinylSd","TA","TA","Ex","TA","ALQ",690,"Unf",0,114,804,"GasA","SBrkr",804,1157,0,1961,1,0,2,1,3,1,"Gd",7,"Typ",1,"BuiltIn",2,560,"TA","TA",125,192,0,0,0,0,NA,NA,6,2009,"WD","Normal",8,8,7,215
"393",393,1,20,"RL",0,8339,NA,"NAmes","Norm","Norm","1Fam","1Story",5,7,"CompShg","MetalSd","MetalSd","TA","TA",NA,NA,NA,0,NA,0,0,0,"GasA","SBrkr",882,0,0,882,0,0,1,0,3,1,"TA",5,"Typ",0,"Attchd",1,294,"TA","TA",0,0,0,0,0,0,NA,"MnPrv",7,2007,"WD","Normal",48,48,48,106.5
"394",394,1,30,"RL",0,7446,NA,"BrkSide","Feedr","Norm","1Fam","1Story",4,5,"CompShg","WdShing","Wd Shng","TA","TA","TA","TA","Rec",266,"Unf",0,522,788,"GasA","FuseA",788,0,0,788,0,0,1,0,2,1,"TA",4,"Typ",2,NA,0,0,NA,NA,0,0,0,0,0,0,NA,"GdWo",4,2006,"WD","Abnorml",65,0,56,100
"395",395,1,50,"RL",60,10134,NA,"OldTown","Norm","Norm","1Fam","1.5Fin",5,6,"CompShg","MetalSd","MetalSd","TA","TA","TA","TA","Unf",0,"Unf",0,735,735,"GasA","FuseA",735,299,0,1034,0,0,1,0,2,1,"TA",5,"Typ",0,"Detchd",1,240,"TA","TA",0,39,0,0,0,0,NA,NA,7,2007,"WD","Normal",67,67,57,109
"396",396,1,20,"RL",68,9571,NA,"Edwards","Norm","Norm","1Fam","1Story",5,6,"CompShg","Wd Sdng","Wd Sdng","TA","TA","TA","TA","BLQ",739,"Unf",0,405,1144,"GasA","SBrkr",1144,0,0,1144,1,0,1,0,3,1,"TA",6,"Typ",0,"Attchd",1,596,"TA","TA",44,0,0,0,0,0,NA,NA,6,2010,"WD","Normal",54,54,54,129
"397",397,1,20,"RL",60,7200,NA,"CollgCr","Norm","Norm","1Fam","1Story",5,5,"CompShg","MetalSd","MetalSd","TA","TA","TA","TA","Rec",777,"Unf",0,117,894,"GasA","SBrkr",894,0,0,894,0,0,1,0,2,1,"TA",6,"Typ",0,"Detchd",2,600,"TA","TA",215,0,0,0,0,0,NA,NA,9,2009,"WD","Normal",37,24,37,123
"398",398,1,60,"RL",69,7590,NA,"NAmes","PosN","Norm","1Fam","2Story",5,5,"CompShg","VinylSd","VinylSd","TA","TA","TA","TA","ALQ",540,"Unf",0,324,864,"GasA","SBrkr",876,936,0,1812,0,0,2,0,4,1,"TA",8,"Typ",1,"Attchd",1,264,"TA","TA",0,168,0,0,0,0,NA,NA,7,2007,"WD","Normal",45,45,45,169.5
"399",399,1,30,"RM",60,8967,NA,"IDOTRR","Norm","Norm","1Fam","1Story",5,2,"CompShg","MetalSd","MetalSd","TA","Fa","Fa","Po","Unf",0,"Unf",0,961,961,"GasA","Mix",1077,0,0,1077,0,0,1,0,2,1,"TA",6,"Maj2",0,"Detchd",1,338,"Po","Po",0,0,0,0,0,0,NA,NA,11,2007,"WD","Abnorml",87,87,57,67
"400",400,1,60,"FV",65,8125,NA,"Somerst","Norm","Norm","1Fam","2Story",7,5,"CompShg","CemntBd","CmentBd","Gd","TA","Gd","TA","GLQ",812,"Unf",0,280,1092,"GasA","SBrkr",1112,438,0,1550,1,0,2,0,2,1,"Gd",7,"Typ",0,"Attchd",2,438,"TA","TA",0,168,0,0,0,0,NA,NA,10,2009,"WD","Normal",3,2,2,241
"401",401,1,120,"RL",38,14963,NA,"Veenker","Norm","Norm","TwnhsE","1Story",8,5,"CompShg","BrkFace","BrkFace","Gd","TA","Gd","TA","GLQ",786,"Unf",0,474,1260,"GasA","SBrkr",1288,0,0,1288,1,0,1,1,1,1,"Ex",4,"Typ",2,"Attchd",2,500,"TA","TA",120,30,0,0,224,0,NA,NA,12,2008,"WD","Normal",12,12,12,245.5
"402",402,1,20,"RL",65,8767,NA,"CollgCr","Norm","Norm","1Fam","1Story",7,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","GLQ",24,"Unf",0,1286,1310,"GasA","SBrkr",1310,0,0,1310,0,0,2,0,3,1,"Gd",6,"Typ",1,"Attchd",2,400,"TA","TA",0,0,0,0,0,0,NA,NA,7,2006,"New","Partial",1,1,1,164.99
"403",403,1,30,"RL",60,10200,NA,"Sawyer","Norm","Norm","1Fam","1Story",5,8,"CompShg","Wd Sdng","Wd Sdng","TA","TA","TA","TA","Unf",0,"Unf",0,672,672,"GasA","SBrkr",672,0,0,672,0,0,1,0,2,1,"TA",4,"Typ",0,"Detchd",1,240,"TA","TA",168,0,0,0,0,0,NA,"GdPrv",8,2008,"WD","Normal",68,68,11,108
"404",404,1,60,"RL",93,12090,NA,"NoRidge","Norm","Norm","1Fam","2Story",8,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","Unf",0,"Unf",0,1141,1141,"GasA","SBrkr",1165,1098,0,2263,0,0,2,1,4,1,"Gd",10,"Typ",1,"BuiltIn",2,420,"TA","TA",144,123,0,0,0,0,NA,NA,7,2006,"WD","Abnorml",8,8,8,258
"405",405,1,60,"RL",0,10364,NA,"Gilbert","Norm","Norm","1Fam","2Story",6,5,"CompShg","MetalSd","MetalSd","TA","TA","Gd","TA","Unf",0,"Unf",0,806,806,"GasA","SBrkr",806,766,0,1572,0,0,2,1,3,1,"TA",7,"Typ",1,"BuiltIn",2,373,"TA","TA",0,40,0,0,0,0,NA,NA,5,2007,"WD","Normal",12,12,11,168
